respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.054484720205088336,0.320616116646361
26708,0.045549771983102415,0.04447300490818159
26709,0.33806876090625554,0.5100969392490922
26710,0.522202337195545,0.8802496215608555
26711,0.1365034505675519,0.4383992690599519
26712,0.4757115940252584,0.9291696908808382
26713,0.32479976997958,0.5925797319861502
26714,0.14084655893930303,0.22450077685842398
26715,0.035011878336824634,0.1491035080712312
26716,0.23471457824617528,0.8956817663983531
26717,0.010516680302028913,0.31242626645717736
26718,0.20602217799417324,0.5567430606344772
26719,0.06584050752646785,0.9178021537773371
26720,0.06430630300599727,0.23678962200664436
26721,0.26662143350253686,0.30579373848557917
26722,0.06506945407405572,0.10119736502935803
26723,0.6950323595227931,0.8755775370521002
26724,0.12322043804454848,0.6437657787170491
26725,0.021260208781609873,0.076241338881238
26726,0.011000342552515325,0.03323956453608435
26727,0.3323772125649272,0.829525785257834
26728,0.16261106385507984,0.6075180275427884
26729,0.4191930587425041,0.8938675629039922
26730,0.03202485924771638,0.19368116050752246
26731,0.019902275050399272,0.35134664466469945
26732,0.08979701036170334,0.07667914199515125
26733,0.9232353375539408,0.954089387272116
26734,0.9023621637598152,0.3650697095242161
26735,0.15201857038003316,0.48085286491668333
26736,0.052434204878152396,0.16823642686095813
26737,0.08436372073982124,0.0938140375318325
26738,0.5753827290763771,0.7885641477715442
26739,0.11799901175355638,0.29751162404790515
26740,0.18412937327135456,0.15305920920623312
26741,0.20475582492672856,0.9005463606793971
26742,0.08982983369786422,0.42196421117769006
26743,0.04761003863428044,0.5838626639347965
26744,0.0481043441709628,0.6665200368593526
26745,0.11590554839579464,0.9321493398615524
26746,0.11393312035957616,0.31954408516877325
26747,0.06945316435302347,0.1693888575370203
26748,0.09426365465382404,0.042700054974232945
26749,0.0978351606825916,0.7270864569074842
26750,0.6635312471589134,0.9270168543270592
26751,0.2736535770520548,0.7146345192347098
26752,0.01915414135698267,0.017207764088742913
26753,0.2144606483158402,0.6781704889290069
